name,mz,rt,global_positive_Batch1_A1,global_positive_Batch1_A2,global_positive_Batch1_A3,global_positive_Batch1_A4,global_positive_Batch1_A5,global_positive_Batch1_F76,global_positive_Batch1_F77,global_positive_Batch1_F78,global_positive_Batch1_F79,global_positive_Batch1_F80
M120T493,120.0792767,493.4163818,247303.1312,462599.889,83744.74001,348326.6352,264015.6297,127073.3768,438198.7052,508913.2608,568832.7846,271823.338
M120T141,120.0651443,141.3330307,358276.5482,205399.3406,1886455.369,292639.2115,2041016.313,617230.0996,1926311.832,2168842.675,3935093.9,865223.1269
M120T494_2,120.3865814,493.8615723,26420.98382,41142.54407,NA,28357.24253,45178.65133,NA,NA,NA,NA,NA
M121T494,120.6553244,494.298,96245.33628,134749.7748,173195.3486,100276.4338,132155.7299,NA,NA,NA,NA,NA
M121T96,120.994458,96.08464432,893068.1415,934119.611,841567.1108,842502.2916,826269.934,680334.2185,832524.8887,906907.0798,855877.1422,746243.1235
M121T8,121.0073614,8.327504158,193664.1115,162734.4131,188159.1163,226131.2822,187917.0372,182206.2913,227215.6273,265397.3202,281845.7709,213302.5294
M121T493,121.0836564,492.5320129,2430902.412,118771.7248,4644231.367,99115.60416,3828488.564,3262540.496,4192839.257,3858071.174,3035047.75,2323892.749
M121T120,121.0701941,119.6042084,5717130.875,2442605.195,152683.4714,123588.1616,132058.6836,1094378.418,1615987.063,1619149.565,1306081.918,690179.6298
M121T647,121.1216954,646.7244873,637386.7873,614790.4896,620830.1585,478035.7655,606526.4742,NA,NA,NA,NA,NA
M121T715,121.0278989,714.9562378,NA,NA,474857.1752,NA,NA,795451.6939,658878.6417,734133.7219,NA,683566.7992
M122T567,121.9868618,566.5918579,NA,453463.7744,NA,NA,1642700.748,714273.5473,NA,446542.2286,440986.8884,910979.6863
M122T119,122.0574847,119.029129,23252.76901,122900.4675,168584.2986,57030.50278,43852.87267,NA,25437.85625,NA,NA,NA
M122T503,122.0871306,502.9441528,465828.4574,101140.8511,1309224.082,70266.07061,1024837.538,967875.1879,832255.2305,246237.5396,1898463.664,764098.9106
M123T105,122.9239803,105.1192474,858368.157,1322420.304,1040957.223,827689.0539,1324184.437,591440.3774,1438162.323,1866216.648,1407870.453,1132450.36
M123T839,123.0912255,838.7765198,474018.3154,833072.5317,NA,65321.39832,516401.0075,NA,NA,NA,NA,NA
M123T148,123.3214722,147.5943909,NA,NA,40521.19952,NA,NA,136191.5757,505954.1233,183173.4111,194910.346,182975.0171
M124T145,123.5950627,145.3125458,NA,NA,90187.20153,99105.22018,64546.83238,228464.2642,741205.4219,288628.8768,806128.7753,288362.952
M124T149,123.8695682,148.7073669,NA,NA,NA,NA,NA,127806.7269,429055.7917,NA,204485.5709,141732.8277
M125T105,124.9743866,104.6678162,152435.4438,165796.5367,118065.1278,162105.6229,175145.2771,83069.29369,161544.7922,247929.3952,210389.2147,151059.9688
M125T519,125.0570349,519.1011963,792825.7908,363589.1729,NA,352129.889,633519.4811,1070627.982,3758888.538,2060761.32,1758970.806,3334076.417
M125T61,125.03866,61.02346039,606208.4685,1291901.382,637227.6936,1232261.354,488367.9931,407353.6705,2705765.14,867929.5304,1766030.785,670641.2045
M126T120,125.9865535,120.241,78368.57241,73815.69915,32067.74954,124102.2738,61804.26285,NA,NA,103140.8107,273083.7469,68145.81869
M126T531,126.0911963,530.6514893,143991.0267,113023.0794,89510.71509,132206.113,140179.4999,NA,135102.4385,82848.9808,121288.4761,166360.396
M126T113,126.0521045,113.2553825,27380.99407,46853.78364,37664.58356,NA,37716.85803,NA,NA,NA,NA,NA
M127T16,126.9867643,15.62229967,236260.0201,456846.5919,223415.6192,185866.7552,586657.4305,519883.8684,241494.8287,583449.2747,920144.4897,194926.3677
M127T554,127.0385684,553.819458,NA,NA,NA,NA,44512.15828,48005.98723,1252490.805,NA,1680741.49,1113325.685
M127T472,127.1227904,471.997543,112533.38,649728.5739,NA,873657.7073,597075.1714,NA,NA,NA,NA,NA
